Site,Day,Date,StartTime,EndTime,Det Flow*
N01341A1,SU,12-04-2020,06:00,06:15,28
N01341A1,SU,12-04-2020,06:15,06:30,12
N01341A1,SU,12-04-2020,06:30,06:45,12
N01341A1,SU,12-04-2020,06:45,07:00,12
N01341A1,SU,12-04-2020,07:00,07:15,36
N01341A1,SU,12-04-2020,07:15,07:30,40
N01341A1,SU,12-04-2020,07:30,07:45,24
N01341A1,SU,12-04-2020,07:45,08:00,52
N01341A1,SU,12-04-2020,08:00,08:15,56
N01341A1,SU,12-04-2020,08:15,08:30,32
N01341A1,SU,12-04-2020,08:30,08:45,44
N01341A1,SU,12-04-2020,08:45,09:00,32
N01341A1,SU,12-04-2020,09:00,09:15,64
N01341A1,SU,12-04-2020,09:15,09:30,60
N01341A1,SU,12-04-2020,09:30,09:45,76
N01341A1,SU,12-04-2020,09:45,10:00,96
N01341A1,SU,12-04-2020,10:00,10:15,56
N01341A1,SU,12-04-2020,10:15,10:30,76
N01341A1,SU,12-04-2020,10:30,10:45,124
N01341A1,SU,12-04-2020,10:45,11:00,140
N01341A1,SU,12-04-2020,11:00,11:15,108
N01341A1,SU,12-04-2020,11:15,11:30,124
N01341A1,SU,12-04-2020,11:30,11:45,132
N01341A1,SU,12-04-2020,11:45,12:00,152
N01341A1,SU,12-04-2020,12:00,12:15,128
N01341A1,SU,12-04-2020,12:15,12:30,180
N01341A1,SU,12-04-2020,12:30,12:45,208
N01341A1,SU,12-04-2020,12:45,13:00,112
N01341A1,SU,12-04-2020,13:00,13:15,176
N01341A1,SU,12-04-2020,13:15,13:30,180
N01341A1,SU,12-04-2020,13:30,13:45,200
N01341A1,SU,12-04-2020,13:45,14:00,164
N01341A1,SU,12-04-2020,14:00,14:15,120
N01341A1,SU,12-04-2020,14:15,14:30,180
N01341A1,SU,12-04-2020,14:30,14:45,144
N01341A1,SU,12-04-2020,14:45,15:00,188
N01341A1,SU,12-04-2020,15:00,15:15,176
N01341A1,SU,12-04-2020,15:15,15:30,144
N01341A1,SU,12-04-2020,15:30,15:45,192
N01341A1,SU,12-04-2020,15:45,16:00,220
N01341A1,SU,12-04-2020,16:00,16:15,172
N01341A1,SU,12-04-2020,16:15,16:30,196
N01341A1,SU,12-04-2020,16:30,16:45,132
N01341A1,SU,12-04-2020,16:45,17:00,152
N01341A1,SU,12-04-2020,17:00,17:15,148
N01341A1,SU,12-04-2020,17:15,17:30,128
N01341A1,SU,12-04-2020,17:30,17:45,152
N01341A1,SU,12-04-2020,17:45,18:00,124
N01341A1,SU,12-04-2020,18:00,18:15,176
N01341A1,SU,12-04-2020,18:15,18:30,124
N01341A1,SU,12-04-2020,18:30,18:45,116
N01341A1,SU,12-04-2020,18:45,19:00,160
N01341A1,SU,12-04-2020,19:00,19:15,140
N01341A1,SU,12-04-2020,19:15,19:30,140
N01341A1,SU,12-04-2020,19:30,19:45,100
N01341A1,SU,12-04-2020,19:45,20:00,132
N01341A1,SU,12-04-2020,20:00,20:15,140
N01341A1,SU,12-04-2020,20:15,20:30,88
N01341A1,SU,12-04-2020,20:30,20:45,80
N01341A1,SU,12-04-2020,20:45,21:00,128
N01341A1,SU,12-04-2020,21:00,21:15,108
N01341A1,SU,12-04-2020,21:15,21:30,92
N01341A1,SU,12-04-2020,21:30,21:45,84
N01341A1,SU,12-04-2020,21:45,22:00,80
N01341A1,SU,12-04-2020,22:00,22:15,72
N01341A1,SU,12-04-2020,22:15,22:30,64
N01341A1,SU,12-04-2020,22:30,22:45,48
N01341A1,SU,12-04-2020,22:45,23:00,32
N01341A1,SU,12-04-2020,23:00,23:15,40
N01341A1,SU,12-04-2020,23:15,23:30,40
N01341A1,SU,12-04-2020,23:30,23:45,40
N01341A1,SU,12-04-2020,23:45,24:00,28
N01341A1,MO,13-04-2020,00:00,00:15,24
N01341A1,MO,13-04-2020,00:15,00:30,16
N01341A1,MO,13-04-2020,00:30,00:45,20
N01341A1,MO,13-04-2020,00:45,01:00,44
N01341A1,MO,13-04-2020,01:00,01:15,16
N01341A1,MO,13-04-2020,01:15,01:30,8
N01341A1,MO,13-04-2020,01:30,01:45,8
N01341A1,MO,13-04-2020,01:45,02:00,8
N01341A1,MO,13-04-2020,02:00,02:15,4
N01341A1,MO,13-04-2020,02:15,02:30,24
N01341A1,MO,13-04-2020,02:30,02:45,4
N01341A1,MO,13-04-2020,02:45,03:00,4
N01341A1,MO,13-04-2020,03:00,03:15,20
N01341A1,MO,13-04-2020,03:15,03:30,8
N01341A1,MO,13-04-2020,03:30,03:45,4
N01341A1,MO,13-04-2020,03:45,04:00,8
N01341A1,MO,13-04-2020,04:00,04:15,0
N01341A1,MO,13-04-2020,04:15,04:30,4
N01341A1,MO,13-04-2020,04:30,04:45,12
N01341A1,MO,13-04-2020,04:45,05:00,4
N01341A1,MO,13-04-2020,05:00,05:15,8
N01341A1,MO,13-04-2020,05:15,05:30,24
N01341A1,MO,13-04-2020,05:30,05:45,12
N01341A1,MO,13-04-2020,05:45,06:00,16
N01341A1,MO,13-04-2020,06:00,06:15,32
N01341A1,MO,13-04-2020,06:15,06:30,24
N01341A1,MO,13-04-2020,06:30,06:45,52
N01341A1,MO,13-04-2020,06:45,07:00,36
N01341A1,MO,13-04-2020,07:00,07:15,40
N01341A1,MO,13-04-2020,07:15,07:30,88
N01341A1,MO,13-04-2020,07:30,07:45,68
N01341A1,MO,13-04-2020,07:45,08:00,92
N01341A1,MO,13-04-2020,08:00,08:15,68
N01341A1,MO,13-04-2020,08:15,08:30,64
N01341A1,MO,13-04-2020,08:30,08:45,64
N01341A1,MO,13-04-2020,08:45,09:00,88
N01341A1,MO,13-04-2020,09:00,09:15,100
N01341A1,MO,13-04-2020,09:15,09:30,76
N01341A1,MO,13-04-2020,09:30,09:45,96
N01341A1,MO,13-04-2020,09:45,10:00,96
N01341A1,MO,13-04-2020,10:00,10:15,80
N01341A1,MO,13-04-2020,10:15,10:30,156
N01341A1,MO,13-04-2020,10:30,10:45,132
N01341A1,MO,13-04-2020,10:45,11:00,152
N01341A1,MO,13-04-2020,11:00,11:15,192
N01341A1,MO,13-04-2020,11:15,11:30,136
N01341A1,MO,13-04-2020,11:30,11:45,136
N01341A1,MO,13-04-2020,11:45,12:00,196
N01341A1,MO,13-04-2020,12:00,12:15,132
N01341A1,MO,13-04-2020,12:15,12:30,152
N01341A1,MO,13-04-2020,12:30,12:45,168
N01341A1,MO,13-04-2020,12:45,13:00,140
N01341A1,MO,13-04-2020,13:00,13:15,196
N01341A1,MO,13-04-2020,13:15,13:30,172
N01341A1,MO,13-04-2020,13:30,13:45,172
N01341A1,MO,13-04-2020,13:45,14:00,176
N01341A1,MO,13-04-2020,14:00,14:15,176
N01341A1,MO,13-04-2020,14:15,14:30,172
N01341A1,MO,13-04-2020,14:30,14:45,228
N01341A1,MO,13-04-2020,14:45,15:00,192
N01341A1,MO,13-04-2020,15:00,15:15,124
N01341A1,MO,13-04-2020,15:15,15:30,192
N01341A1,MO,13-04-2020,15:30,15:45,220
N01341A1,MO,13-04-2020,15:45,16:00,164
N01341A1,MO,13-04-2020,16:00,16:15,192
N01341A1,MO,13-04-2020,16:15,16:30,208
N01341A1,MO,13-04-2020,16:30,16:45,168
N01341A1,MO,13-04-2020,16:45,17:00,160
N01341A1,MO,13-04-2020,17:00,17:15,184
N01341A1,MO,13-04-2020,17:15,17:30,172
N01341A1,MO,13-04-2020,17:30,17:45,148
N01341A1,MO,13-04-2020,17:45,18:00,144
N01341A1,MO,13-04-2020,18:00,18:15,184
N01341A1,MO,13-04-2020,18:15,18:30,184
N01341A1,MO,13-04-2020,18:30,18:45,120
N01341A1,MO,13-04-2020,18:45,19:00,172
N01341A1,MO,13-04-2020,19:00,19:15,136
N01341A1,MO,13-04-2020,19:15,19:30,184
N01341A1,MO,13-04-2020,19:30,19:45,104
N01341A1,MO,13-04-2020,19:45,20:00,164
N01341A1,MO,13-04-2020,20:00,20:15,84
N01341A1,MO,13-04-2020,20:15,20:30,124
N01341A1,MO,13-04-2020,20:30,20:45,112
N01341A1,MO,13-04-2020,20:45,21:00,84
N01341A1,MO,13-04-2020,21:00,21:15,84
N01341A1,MO,13-04-2020,21:15,21:30,96
N01341A1,MO,13-04-2020,21:30,21:45,104
N01341A1,MO,13-04-2020,21:45,22:00,72
N01341A1,MO,13-04-2020,22:00,22:15,80
N01341A1,MO,13-04-2020,22:15,22:30,48
N01341A1,MO,13-04-2020,22:30,22:45,60
N01341A1,MO,13-04-2020,22:45,23:00,64
N01341A1,MO,13-04-2020,23:00,23:15,24
N01341A1,MO,13-04-2020,23:15,23:30,32
N01341A1,MO,13-04-2020,23:30,23:45,28
N01341A1,MO,13-04-2020,23:45,24:00,28
N01341A1,TU,14-04-2020,00:00,00:15,32
N01341A1,TU,14-04-2020,00:15,00:30,4
N01341A1,TU,14-04-2020,00:30,00:45,12
N01341A1,TU,14-04-2020,00:45,01:00,16
N01341A1,TU,14-04-2020,01:00,01:15,4
N01341A1,TU,14-04-2020,01:15,01:30,12
N01341A1,TU,14-04-2020,01:30,01:45,8
N01341A1,TU,14-04-2020,01:45,02:00,16
N01341A1,TU,14-04-2020,02:00,02:15,0
N01341A1,TU,14-04-2020,02:15,02:30,4
N01341A1,TU,14-04-2020,02:30,02:45,16
N01341A1,TU,14-04-2020,02:45,03:00,0
N01341A1,TU,14-04-2020,03:00,03:15,12
N01341A1,TU,14-04-2020,03:15,03:30,0
N01341A1,TU,14-04-2020,03:30,03:45,12
N01341A1,TU,14-04-2020,03:45,04:00,8
N01341A1,TU,14-04-2020,04:00,04:15,4
N01341A1,TU,14-04-2020,04:15,04:30,4
N01341A1,TU,14-04-2020,04:30,04:45,20
N01341A1,TU,14-04-2020,04:45,05:00,0
N01341A1,TU,14-04-2020,05:00,05:15,12
N01341A1,TU,14-04-2020,05:15,05:30,12
N01341A1,TU,14-04-2020,05:30,05:45,32
N01341A1,TU,14-04-2020,05:45,06:00,32
N01341A1,TU,14-04-2020,06:00,06:15,24
N01341A1,TU,14-04-2020,06:15,06:30,20
N01341A1,TU,14-04-2020,06:30,06:45,56
N01341A1,TU,14-04-2020,06:45,07:00,88
N01341A1,TU,14-04-2020,07:00,07:15,64
N01341A1,TU,14-04-2020,07:15,07:30,80
N01341A1,TU,14-04-2020,07:30,07:45,100
N01341A1,TU,14-04-2020,07:45,08:00,112
N01341A1,TU,14-04-2020,08:00,08:15,88
N01341A1,TU,14-04-2020,08:15,08:30,100
N01341A1,TU,14-04-2020,08:30,08:45,128
N01341A1,TU,14-04-2020,08:45,09:00,108
N01341A1,TU,14-04-2020,09:00,09:15,120
N01341A1,TU,14-04-2020,09:15,09:30,100
N01341A1,TU,14-04-2020,09:30,09:45,132
N01341A1,TU,14-04-2020,09:45,10:00,140
N01341A1,TU,14-04-2020,10:00,10:15,180
N01341A1,TU,14-04-2020,10:15,10:30,136
N01341A1,TU,14-04-2020,10:30,10:45,204
N01341A1,TU,14-04-2020,10:45,11:00,164
N01341A1,TU,14-04-2020,11:00,11:15,160
N01341A1,TU,14-04-2020,11:15,11:30,200
N01341A1,TU,14-04-2020,11:30,11:45,172
N01341A1,TU,14-04-2020,11:45,12:00,176
N01341A1,TU,14-04-2020,12:00,12:15,224
N01341A1,TU,14-04-2020,12:15,12:30,212
N01341A1,TU,14-04-2020,12:30,12:45,188
N01341A1,TU,14-04-2020,12:45,13:00,220
N01341A1,TU,14-04-2020,13:00,13:15,252
N01341A1,TU,14-04-2020,13:15,13:30,228
N01341A1,TU,14-04-2020,13:30,13:45,152
N01341A1,TU,14-04-2020,13:45,14:00,232
N01341A1,TU,14-04-2020,14:00,14:15,196
N01341A1,TU,14-04-2020,14:15,14:30,196
N01341A1,TU,14-04-2020,14:30,14:45,188
N01341A1,TU,14-04-2020,14:45,15:00,204
N01341A1,TU,14-04-2020,15:00,15:15,192
N01341A1,TU,14-04-2020,15:15,15:30,200
N01341A1,TU,14-04-2020,15:30,15:45,200
N01341A1,TU,14-04-2020,15:45,16:00,140
N01341A1,TU,14-04-2020,16:00,16:15,224
N01341A1,TU,14-04-2020,16:15,16:30,180
N01341A1,TU,14-04-2020,16:30,16:45,176
N01341A1,TU,14-04-2020,16:45,17:00,184
N01341A1,TU,14-04-2020,17:00,17:15,228
N01341A1,TU,14-04-2020,17:15,17:30,232
N01341A1,TU,14-04-2020,17:30,17:45,200
N01341A1,TU,14-04-2020,17:45,18:00,184
N01341A1,TU,14-04-2020,18:00,18:15,188
N01341A1,TU,14-04-2020,18:15,18:30,168
N01341A1,TU,14-04-2020,18:30,18:45,172
N01341A1,TU,14-04-2020,18:45,19:00,144
N01341A1,TU,14-04-2020,19:00,19:15,156
N01341A1,TU,14-04-2020,19:15,19:30,168
N01341A1,TU,14-04-2020,19:30,19:45,168
N01341A1,TU,14-04-2020,19:45,20:00,156
N01341A1,TU,14-04-2020,20:00,20:15,120
N01341A1,TU,14-04-2020,20:15,20:30,144
N01341A1,TU,14-04-2020,20:30,20:45,128
N01341A1,TU,14-04-2020,20:45,21:00,112
N01341A1,TU,14-04-2020,21:00,21:15,120
N01341A1,TU,14-04-2020,21:15,21:30,84
N01341A1,TU,14-04-2020,21:30,21:45,84
N01341A1,TU,14-04-2020,21:45,22:00,60
N01341A1,TU,14-04-2020,22:00,22:15,64
N01341A1,TU,14-04-2020,22:15,22:30,68
N01341A1,TU,14-04-2020,22:30,22:45,60
N01341A1,TU,14-04-2020,22:45,23:00,40
N01341A1,TU,14-04-2020,23:00,23:15,52
N01341A1,TU,14-04-2020,23:15,23:30,28
N01341A1,TU,14-04-2020,23:30,23:45,28
N01341A1,TU,14-04-2020,23:45,24:00,16
N01341A1,WE,15-04-2020,00:00,00:15,8
N01341A1,WE,15-04-2020,00:15,00:30,28
N01341A1,WE,15-04-2020,00:30,00:45,24
N01341A1,WE,15-04-2020,00:45,01:00,24
N01341A1,WE,15-04-2020,01:00,01:15,4
N01341A1,WE,15-04-2020,01:15,01:30,4
N01341A1,WE,15-04-2020,01:30,01:45,8
N01341A1,WE,15-04-2020,01:45,02:00,8
N01341A1,WE,15-04-2020,02:00,02:15,12
N01341A1,WE,15-04-2020,02:15,02:30,8
N01341A1,WE,15-04-2020,02:30,02:45,12
N01341A1,WE,15-04-2020,02:45,03:00,4
N01341A1,WE,15-04-2020,03:00,03:15,8
N01341A1,WE,15-04-2020,03:15,03:30,8
N01341A1,WE,15-04-2020,03:30,03:45,4
N01341A1,WE,15-04-2020,03:45,04:00,16
N01341A1,WE,15-04-2020,04:00,04:15,0
N01341A1,WE,15-04-2020,04:15,04:30,24
N01341A1,WE,15-04-2020,04:30,04:45,8
N01341A1,WE,15-04-2020,04:45,05:00,4
N01341A1,WE,15-04-2020,05:00,05:15,4
N01341A1,WE,15-04-2020,05:15,05:30,36
N01341A1,WE,15-04-2020,05:30,05:45,16
N01341A1,WE,15-04-2020,05:45,06:00,40
N01341A1,WE,15-04-2020,06:00,06:15,28
N01341A1,WE,15-04-2020,06:15,06:30,40
N01341A1,WE,15-04-2020,06:30,06:45,44
N01341A1,WE,15-04-2020,06:45,07:00,52
N01341A1,WE,15-04-2020,07:00,07:15,68
N01341A1,WE,15-04-2020,07:15,07:30,72
N01341A1,WE,15-04-2020,07:30,07:45,104
N01341A1,WE,15-04-2020,07:45,08:00,84
N01341A1,WE,15-04-2020,08:00,08:15,128
N01341A1,WE,15-04-2020,08:15,08:30,96
N01341A1,WE,15-04-2020,08:30,08:45,116
N01341A1,WE,15-04-2020,08:45,09:00,176
N01341A1,WE,15-04-2020,09:00,09:15,76
N01341A1,WE,15-04-2020,09:15,09:30,116
N01341A1,WE,15-04-2020,09:30,09:45,116
N01341A1,WE,15-04-2020,09:45,10:00,124
N01341A1,WE,15-04-2020,10:00,10:15,148
N01341A1,WE,15-04-2020,10:15,10:30,184
N01341A1,WE,15-04-2020,10:30,10:45,144
N01341A1,WE,15-04-2020,10:45,11:00,136
N01341A1,WE,15-04-2020,11:00,11:15,184
N01341A1,WE,15-04-2020,11:15,11:30,184
N01341A1,WE,15-04-2020,11:30,11:45,220
N01341A1,WE,15-04-2020,11:45,12:00,220
N01341A1,WE,15-04-2020,12:00,12:15,176
N01341A1,WE,15-04-2020,12:15,12:30,232
N01341A1,WE,15-04-2020,12:30,12:45,204
N01341A1,WE,15-04-2020,12:45,13:00,204
N01341A1,WE,15-04-2020,13:00,13:15,240
N01341A1,WE,15-04-2020,13:15,13:30,188
N01341A1,WE,15-04-2020,13:30,13:45,156
N01341A1,WE,15-04-2020,13:45,14:00,220
N01341A1,WE,15-04-2020,14:00,14:15,204
N01341A1,WE,15-04-2020,14:15,14:30,184
N01341A1,WE,15-04-2020,14:30,14:45,196
N01341A1,WE,15-04-2020,14:45,15:00,192
N01341A1,WE,15-04-2020,15:00,15:15,212
N01341A1,WE,15-04-2020,15:15,15:30,220
N01341A1,WE,15-04-2020,15:30,15:45,188
N01341A1,WE,15-04-2020,15:45,16:00,200
N01341A1,WE,15-04-2020,16:00,16:15,200
N01341A1,WE,15-04-2020,16:15,16:30,176
N01341A1,WE,15-04-2020,16:30,16:45,224
N01341A1,WE,15-04-2020,16:45,17:00,212
N01341A1,WE,15-04-2020,17:00,17:15,228
N01341A1,WE,15-04-2020,17:15,17:30,212
N01341A1,WE,15-04-2020,17:30,17:45,160
N01341A1,WE,15-04-2020,17:45,18:00,176
N01341A1,WE,15-04-2020,18:00,18:15,212
N01341A1,WE,15-04-2020,18:15,18:30,196
N01341A1,WE,15-04-2020,18:30,18:45,160
N01341A1,WE,15-04-2020,18:45,19:00,156
N01341A1,WE,15-04-2020,19:00,19:15,188
N01341A1,WE,15-04-2020,19:15,19:30,168
N01341A1,WE,15-04-2020,19:30,19:45,140
N01341A1,WE,15-04-2020,19:45,20:00,144
N01341A1,WE,15-04-2020,20:00,20:15,132
N01341A1,WE,15-04-2020,20:15,20:30,136
N01341A1,WE,15-04-2020,20:30,20:45,112
N01341A1,WE,15-04-2020,20:45,21:00,116
N01341A1,WE,15-04-2020,21:00,21:15,84
N01341A1,WE,15-04-2020,21:15,21:30,124
N01341A1,WE,15-04-2020,21:30,21:45,104
N01341A1,WE,15-04-2020,21:45,22:00,84
N01341A1,WE,15-04-2020,22:00,22:15,64
N01341A1,WE,15-04-2020,22:15,22:30,56
N01341A1,WE,15-04-2020,22:30,22:45,56
N01341A1,WE,15-04-2020,22:45,23:00,48
N01341A1,WE,15-04-2020,23:00,23:15,44
N01341A1,WE,15-04-2020,23:15,23:30,40
N01341A1,WE,15-04-2020,23:30,23:45,56
N01341A1,WE,15-04-2020,23:45,24:00,44
N01341A1,TH,16-04-2020,00:00,00:15,24
N01341A1,TH,16-04-2020,00:15,00:30,24
N01341A1,TH,16-04-2020,00:30,00:45,40
N01341A1,TH,16-04-2020,00:45,01:00,20
N01341A1,TH,16-04-2020,01:00,01:15,4
N01341A1,TH,16-04-2020,01:15,01:30,12
N01341A1,TH,16-04-2020,01:30,01:45,4
N01341A1,TH,16-04-2020,01:45,02:00,16
N01341A1,TH,16-04-2020,02:00,02:15,8
N01341A1,TH,16-04-2020,02:15,02:30,12
N01341A1,TH,16-04-2020,02:30,02:45,12
N01341A1,TH,16-04-2020,02:45,03:00,12
N01341A1,TH,16-04-2020,03:00,03:15,8
N01341A1,TH,16-04-2020,03:15,03:30,8
N01341A1,TH,16-04-2020,03:30,03:45,0
N01341A1,TH,16-04-2020,03:45,04:00,8
N01341A1,TH,16-04-2020,04:00,04:15,16
N01341A1,TH,16-04-2020,04:15,04:30,12
N01341A1,TH,16-04-2020,04:30,04:45,24
N01341A1,TH,16-04-2020,04:45,05:00,0
N01341A1,TH,16-04-2020,05:00,05:15,12
N01341A1,TH,16-04-2020,05:15,05:30,12
N01341A1,TH,16-04-2020,05:30,05:45,24
N01341A1,TH,16-04-2020,05:45,06:00,28
N01341A1,TH,16-04-2020,06:00,06:15,32
N01341A1,TH,16-04-2020,06:15,06:30,40
N01341A1,TH,16-04-2020,06:30,06:45,60
N01341A1,TH,16-04-2020,06:45,07:00,68
N01341A1,TH,16-04-2020,07:00,07:15,72
N01341A1,TH,16-04-2020,07:15,07:30,80
N01341A1,TH,16-04-2020,07:30,07:45,84
N01341A1,TH,16-04-2020,07:45,08:00,120
N01341A1,TH,16-04-2020,08:00,08:15,104
N01341A1,TH,16-04-2020,08:15,08:30,96
N01341A1,TH,16-04-2020,08:30,08:45,116
N01341A1,TH,16-04-2020,08:45,09:00,108
N01341A1,TH,16-04-2020,09:00,09:15,120
N01341A1,TH,16-04-2020,09:15,09:30,100
N01341A1,TH,16-04-2020,09:30,09:45,80
N01341A1,TH,16-04-2020,09:45,10:00,108
N01341A1,TH,16-04-2020,10:00,10:15,96
N01341A1,TH,16-04-2020,10:15,10:30,156
N01341A1,TH,16-04-2020,10:30,10:45,148
N01341A1,TH,16-04-2020,10:45,11:00,136
N01341A1,TH,16-04-2020,11:00,11:15,196
N01341A1,TH,16-04-2020,11:15,11:30,172
N01341A1,TH,16-04-2020,11:30,11:45,208
N01341A1,TH,16-04-2020,11:45,12:00,224
N01341A1,TH,16-04-2020,12:00,12:15,160
N01341A1,TH,16-04-2020,12:15,12:30,244
N01341A1,TH,16-04-2020,12:30,12:45,228
N01341A1,TH,16-04-2020,12:45,13:00,232
N01341A1,TH,16-04-2020,13:00,13:15,228
N01341A1,TH,16-04-2020,13:15,13:30,220
N01341A1,TH,16-04-2020,13:30,13:45,212
N01341A1,TH,16-04-2020,13:45,14:00,220
N01341A1,TH,16-04-2020,14:00,14:15,216
N01341A1,TH,16-04-2020,14:15,14:30,212
N01341A1,TH,16-04-2020,14:30,14:45,172
N01341A1,TH,16-04-2020,14:45,15:00,252
N01341A1,TH,16-04-2020,15:00,15:15,204
N01341A1,TH,16-04-2020,15:15,15:30,196
N01341A1,TH,16-04-2020,15:30,15:45,192
N01341A1,TH,16-04-2020,15:45,16:00,256
N01341A1,TH,16-04-2020,16:00,16:15,220
N01341A1,TH,16-04-2020,16:15,16:30,244
N01341A1,TH,16-04-2020,16:30,16:45,248
N01341A1,TH,16-04-2020,16:45,17:00,192
N01341A1,TH,16-04-2020,17:00,17:15,232
N01341A1,TH,16-04-2020,17:15,17:30,180
N01341A1,TH,16-04-2020,17:30,17:45,204
N01341A1,TH,16-04-2020,17:45,18:00,192
N01341A1,TH,16-04-2020,18:00,18:15,152
N01341A1,TH,16-04-2020,18:15,18:30,184
N01341A1,TH,16-04-2020,18:30,18:45,156
N01341A1,TH,16-04-2020,18:45,19:00,192
N01341A1,TH,16-04-2020,19:00,19:15,120
N01341A1,TH,16-04-2020,19:15,19:30,192
N01341A1,TH,16-04-2020,19:30,19:45,144
N01341A1,TH,16-04-2020,19:45,20:00,188
N01341A1,TH,16-04-2020,20:00,20:15,160
N01341A1,TH,16-04-2020,20:15,20:30,132
N01341A1,TH,16-04-2020,20:30,20:45,120
N01341A1,TH,16-04-2020,20:45,21:00,124
N01341A1,TH,16-04-2020,21:00,21:15,100
N01341A1,TH,16-04-2020,21:15,21:30,72
N01341A1,TH,16-04-2020,21:30,21:45,80
N01341A1,TH,16-04-2020,21:45,22:00,100
N01341A1,TH,16-04-2020,22:00,22:15,64
N01341A1,TH,16-04-2020,22:15,22:30,60
N01341A1,TH,16-04-2020,22:30,22:45,68
N01341A1,TH,16-04-2020,22:45,23:00,52
N01341A1,TH,16-04-2020,23:00,23:15,72
N01341A1,TH,16-04-2020,23:15,23:30,52
N01341A1,TH,16-04-2020,23:30,23:45,40
N01341A1,TH,16-04-2020,23:45,24:00,44
N01341A1,FR,17-04-2020,00:00,00:15,24
N01341A1,FR,17-04-2020,00:15,00:30,16
N01341A1,FR,17-04-2020,00:30,00:45,8
N01341A1,FR,17-04-2020,00:45,01:00,28
N01341A1,FR,17-04-2020,01:00,01:15,20
N01341A1,FR,17-04-2020,01:15,01:30,20
N01341A1,FR,17-04-2020,01:30,01:45,4
N01341A1,FR,17-04-2020,01:45,02:00,4
N01341A1,FR,17-04-2020,02:00,02:15,8
N01341A1,FR,17-04-2020,02:15,02:30,4
N01341A1,FR,17-04-2020,02:30,02:45,20
N01341A1,FR,17-04-2020,02:45,03:00,0
N01341A1,FR,17-04-2020,03:00,03:15,4
N01341A1,FR,17-04-2020,03:15,03:30,20
N01341A1,FR,17-04-2020,03:30,03:45,4
N01341A1,FR,17-04-2020,03:45,04:00,8
N01341A1,FR,17-04-2020,04:00,04:15,8
N01341A1,FR,17-04-2020,04:15,04:30,0
N01341A1,FR,17-04-2020,04:30,04:45,16
N01341A1,FR,17-04-2020,04:45,05:00,12
N01341A1,FR,17-04-2020,05:00,05:15,8
N01341A1,FR,17-04-2020,05:15,05:30,20
N01341A1,FR,17-04-2020,05:30,05:45,16
N01341A1,FR,17-04-2020,05:45,06:00,48
N01341A1,FR,17-04-2020,06:00,06:15,32
N01341A1,FR,17-04-2020,06:15,06:30,40
N01341A1,FR,17-04-2020,06:30,06:45,64
N01341A1,FR,17-04-2020,06:45,07:00,44
N01341A1,FR,17-04-2020,07:00,07:15,48
N01341A1,FR,17-04-2020,07:15,07:30,84
N01341A1,FR,17-04-2020,07:30,07:45,116
N01341A1,FR,17-04-2020,07:45,08:00,84
N01341A1,FR,17-04-2020,08:00,08:15,144
N01341A1,FR,17-04-2020,08:15,08:30,116
N01341A1,FR,17-04-2020,08:30,08:45,188
N01341A1,FR,17-04-2020,08:45,09:00,132
N01341A1,FR,17-04-2020,09:00,09:15,168
N01341A1,FR,17-04-2020,09:15,09:30,132
N01341A1,FR,17-04-2020,09:30,09:45,156
N01341A1,FR,17-04-2020,09:45,10:00,104
N01341A1,FR,17-04-2020,10:00,10:15,136
N01341A1,FR,17-04-2020,10:15,10:30,188
N01341A1,FR,17-04-2020,10:30,10:45,192
N01341A1,FR,17-04-2020,10:45,11:00,204
N01341A1,FR,17-04-2020,11:00,11:15,220
N01341A1,FR,17-04-2020,11:15,11:30,272
N01341A1,FR,17-04-2020,11:30,11:45,240
N01341A1,FR,17-04-2020,11:45,12:00,232
N01341A1,FR,17-04-2020,12:00,12:15,216
N01341A1,FR,17-04-2020,12:15,12:30,228
N01341A1,FR,17-04-2020,12:30,12:45,228
N01341A1,FR,17-04-2020,12:45,13:00,256
N01341A1,FR,17-04-2020,13:00,13:15,224
N01341A1,FR,17-04-2020,13:15,13:30,244
N01341A1,FR,17-04-2020,13:30,13:45,228
N01341A1,FR,17-04-2020,13:45,14:00,236
N01341A1,FR,17-04-2020,14:00,14:15,208
N01341A1,FR,17-04-2020,14:15,14:30,264
N01341A1,FR,17-04-2020,14:30,14:45,256
N01341A1,FR,17-04-2020,14:45,15:00,268
N01341A1,FR,17-04-2020,15:00,15:15,224
N01341A1,FR,17-04-2020,15:15,15:30,236
N01341A1,FR,17-04-2020,15:30,15:45,200
N01341A1,FR,17-04-2020,15:45,16:00,200
N01341A1,FR,17-04-2020,16:00,16:15,292
N01341A1,FR,17-04-2020,16:15,16:30,264
N01341A1,FR,17-04-2020,16:30,16:45,272
N01341A1,FR,17-04-2020,16:45,17:00,244
N01341A1,FR,17-04-2020,17:00,17:15,232
N01341A1,FR,17-04-2020,17:15,17:30,240
N01341A1,FR,17-04-2020,17:30,17:45,288
N01341A1,FR,17-04-2020,17:45,18:00,256
N01341A1,FR,17-04-2020,18:00,18:15,224
N01341A1,FR,17-04-2020,18:15,18:30,192
N01341A1,FR,17-04-2020,18:30,18:45,184
N01341A1,FR,17-04-2020,18:45,19:00,184
N01341A1,FR,17-04-2020,19:00,19:15,220
N01341A1,FR,17-04-2020,19:15,19:30,168
N01341A1,FR,17-04-2020,19:30,19:45,184
N01341A1,FR,17-04-2020,19:45,20:00,180
N01341A1,FR,17-04-2020,20:00,20:15,176
